Adjustment Type,Asset ID,Asset Title,Asset Labels,Asset Channel ID,Asset Type,Custom ID,ISRC,UPC,GRid,Artist,Album,Label,Administer Publish Rights,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,A170453696315707,Que Calor,,,Sound Recording,191773301118_ARG991008335_25863932,,191773301118,,,,,no,207930,536.462702,4.561394,0,0,541.024096,214.616784,1.824901,0,0,216.441685
None,A538952601551877,Las Mañanitas,,,Sound Recording,ARG991033198,ARG991033198,,,Topo Gigio,Topo Gigio,Magenta,no,353992,320.08134,0,0,0,320.08134,128.071434,0,0,0,128.071434
None,A413093318262672,El Tecla - Si la ves / Mirame a la cara / A Chillar a otra parte | Sesion en Vivo 2022,,UCx1wKKjyMu8LkYL-OITUqzA,Music Video,7bud4f92BjE,,,,El Tecla,,,no,248507,179.172589,0,0,0,179.172589,80.135004,0,0,0,80.135004
None,A917564810475623,Quiero Ser Cómo Mi Papá,,,Sound Recording,ARG991033202,ARG991033202,,,Topo Gigio,Topo Gigio,Magenta,no,405640,182.387388,0,0,0,182.387388,72.990901,0,0,0,72.990901
None,A151591821410354,Pideme la Luna,,,Sound Recording,886788993662_ARG991014499_5267548,,758869231720,,,,,no,511030,134.991176,0.015694,0,0,135.00687,54.064119,0.006309,0,0,54.070428
None,A187748068760887,Y sin embargo te quiero,,,Sound Recording,196626332288_ARG991035029,ARG991035029,196626332288,,Dalila,Y sin embargo te quiero,Magenta,no,108249,133.954334,0.854731,0,0,134.809065,53.597127,0.341978,0,0,53.939105
None,A870101070371238,Si tu amor no vuelve / Corazón de acero,,,Sound Recording,196626374790_ARG991035030,ARG991035030,196626374790,,Sound de Barrio,Si tu amor no vuelve / Corazón de acero,Magenta,no,105915,101.866941,0.790478,0,0,102.657419,40.761405,0.316268,0,0,41.077673
None,A402285869282795,Como duele perderte,,,Sound Recording,196626262332_ARG991034960,ARG991034960,196626262332,,Banda Mix,Como duele perderte,Magenta,no,171573,100.379009,0,0,0,100.379009,40.176322,0,0,0,40.176322
None,A768600186815995,El Tecla - Llorar duele más / Amor de Chat / Ella ya me olvido / El Baile del Gavilan | Sesion 2022,,UCx1wKKjyMu8LkYL-OITUqzA,Music Video,90rW134h9js,,,,El Tecla,,,no,125828,83.731702,0,0,0,83.731702,37.285925,0,0,0,37.285925
None,A300793395565489,CANCION DE NAVIDAD,,,Sound Recording,,QM6N22116758,,,Topo Gigio,CANCION DE NAVIDAD,Magenta,no,472333,60.855863,0.37692,0,0,61.232783,24.412672,0.151034,0,0,24.563706
